product,descriptor_type,descriptors,sentences,n_keyword_hits
Acidophiline,fermented,"['culture', 'fermented', 'kefir', 'yogurt']","['the sweetened acidophiline was widely produced in the ussr, among other fermented milk drinks, such as kefir and ryazhenka.\n', 'acidophiline (russian: ацидофилин) is a type of drinkable yogurt, with lactobacillus acidophilus as the starter culture', 'kefir yeast is also added sometimes']",5
Amasi,cooked,['pasteurised'],"['the milk is then pasteurised at 72 °c for 15 seconds; then cooled at 30 °c to prevent thickening', ""amasi is traditionally prepared by storing unpasteurised cow's milk in a calabash container (xhosa: iselwa,  zulu: igula) or hide sack to allow it to ferment""]",2
Amasi,fermented,"['culture', 'fermented', 'yogurt']","['amasi (in ndebele, zulu and xhosa), emasi (in swazi), karringmelk (in afrikaans), or mafi (in sesotho), is a thick curdled sour fermented milk product that is sometimes compared to cottage cheese or plain yogurt but has a much stronger flavor', 'in the xhosa culture, a bride is served amasi and a piece of meat, which is called utsiki, as a sign of being welcomed into her new family.\n']",3
Amasi,fresh,['fresh'],"['milk is hardly ever drunk fresh, but it is sometimes used to thin amasi which is deemed too thick to be used.\n']",1
Amasi,smoked,['smoked'],"['a calabash is smoked, then milk from the cow is put in a skin bag or bucket, where it ferments for 1 - 5 days, and acquires a sharp acidic taste']",1
Ayran,fermented,"['fermented', 'kefir', 'yogurt']","['it is made with yogurt, salt, mint, diced cucumbers, lime, and is sometimes carbonated', 'it is made by mixing yogurt with chilled or iced water and is sometimes carbonated and seasoned with mint', 'in albania, ayran is known as dhallë and is made exclusively with yogurt, salt and water and it is served cold', 'in russia and some other slavic countries, the local variant is called kefir which houses a similar taste but is instead made using fermented milk from kefir grains.\n', 'it has been variously described as ""diluted yogurt"" and ""a most refreshing drink made by mixing yogurt with iced water"".\n', 'the traditional method of preparing this drink among various iranic peoples involves pouring yogurt into a waterskin—known as mashk (مشک) in luri, kurdish, and persian, and maskah (مسکه) in afghanistan —and vigorously shaking it to separate the butter from the liquid', 'in southern cyprus ayrani (αϊρανι) is made with sour sheep yogurt, water, salt and mint.\n', 'ayran (/aɪˈrɑːn/ eye-rahn)  is a cold savory yogurt-based beverage that is consumed across central asia, the balkans, and the middle east', 'the principal ingredients are yogurt, water and salt']",10
Ayran,fresh,['fresh'],"['it has been variously described as ""diluted yogurt"" and ""a most refreshing drink made by mixing yogurt with iced water"".\n', 'once the butter is extracted, the remaining liquid, called doogh, is collected and consumed as a refreshing beverage']",2
Basundi,cooked,['cooked'],"['sometimes after adding sugar, one cooks it for some more time; this gives a nice pink color to basundi, as sugar is also cooked in milk turning into a light caramel']",1
Bhuna khoya,cooked,['cooked'],"['this is called hariyali (green khoa) and is used in recipes where the khoa is thoroughly cooked, e.g., gulab jamun']",1
Bhuna khoya,fresh,['fresh'],['it is lower in moisture than typical fresh cheeses such as ricotta'],1
