product,countries,description,productURL,countryURLs
Acidophiline,['USSR'],"<td>A drinkable <a href=""/wiki/Yogurt"" title=""Yogurt"">yogurt</a>, with <a href=""/wiki/Lactobacillus_acidophilus"" title=""Lactobacillus acidophilus"">Lactobacillus acidophilus</a> as the starter culture.
</td>",https://en.wikipedia.org/wiki/Acidophiline,['https://en.wikipedia.org/wiki/USSR']
Amasi,['South Africa'],"<td>The common word for <a class=""mw-redirect"" href=""/wiki/Fermented_milk"" title=""Fermented milk"">fermented milk</a> that tastes like cottage cheese or plain yogurt. It is very popular in <a href=""/wiki/South_Africa"" title=""South Africa"">South Africa</a>.
</td>",https://en.wikipedia.org/wiki/Amasi,['https://en.wikipedia.org/wiki/South_Africa']
Ayran,['Turkey'],"<td><a href=""/wiki/Turkish_cuisine"" title=""Turkish cuisine"">Turkish</a> beverage of <a href=""/wiki/Yogurt"" title=""Yogurt"">yogurt</a> mixed with cold water and sometimes <a href=""/wiki/Salt"" title=""Salt"">salt</a> that may be considered a variant of a drink popular throughout <a href=""/wiki/Central_Asia"" title=""Central Asia"">Central Asia</a>, the <a href=""/wiki/Middle_East"" title=""Middle East"">Middle East</a>, and <a class=""mw-redirect"" href=""/wiki/South-eastern_Europe"" title=""South-eastern Europe"">South-eastern Europe</a>.<sup class=""reference"" id=""cite_ref-1""><a href=""#cite_note-1""><span class=""cite-bracket"">[</span>1<span class=""cite-bracket"">]</span></a></sup> <i>Ayran</i> is found in the <a href=""/wiki/Balkans"" title=""Balkans"">Balkans</a> as well as Turkey and may be present in the <a href=""/wiki/North_Caucasus"" title=""North Caucasus"">North Caucasus</a>, too.<sup class=""reference"" id=""cite_ref-2""><a href=""#cite_note-2""><span class=""cite-bracket"">[</span>2<span class=""cite-bracket"">]</span></a></sup>
</td>",https://en.wikipedia.org/wiki/Ayran,['https://en.wikipedia.org/wiki/Turkey']
Basundi,['India'],"<td>An <a href=""/wiki/Indian_cuisine"" title=""Indian cuisine"">Indian</a> <a href=""/wiki/Dessert"" title=""Dessert"">dessert</a> mostly in Bihar, Maharashtra, Gujarat and Karnataka and Pan India. It is a sweetened dense milk made by boiling milk on low heat until the milk is reduced by half.
</td>",https://en.wikipedia.org/wiki/Basundi,['https://en.wikipedia.org/wiki/India']
Bhuna khoya,"['Khan garh', 'Pakistan', 'India']","<td>A type of <a href=""/wiki/Khoa"" title=""Khoa"">khoa</a> specially linked to city of Khan garh in Pakistan.
</td>",https://en.wikipedia.org/wiki/Bhuna_khoya,"['https://en.wikipedia.org/wiki/Khangarh,_Punjab', 'https://en.wikipedia.org/wiki/Pakistan', 'https://en.wikipedia.org/wiki/India']"
Blaand,"['Scotland', 'Vikings']","<td>A <a class=""mw-redirect"" href=""/wiki/Fermented_milk_product"" title=""Fermented milk product"">fermented milk product</a> made from <a href=""/wiki/Whey"" title=""Whey"">whey</a>.  It is similar in <a href=""/wiki/Ethanol"" title=""Ethanol"">alcohol</a> content to wine.
</td>",https://en.wikipedia.org/wiki/Blaand,"['https://en.wikipedia.org/wiki/Scotland', 'https://en.wikipedia.org/wiki/Vikings']"
Black Kashk,['Central Asia'],"<td>Prepared from <a href=""/wiki/Yogurt"" title=""Yogurt"">yogurt</a>, its production involves several processes.
</td>",https://en.wikipedia.org/wiki/Black_Kashk,['https://en.wikipedia.org/wiki/Central_Asia']
Booza,['Syria'],"<td>An elastic, sticky, high level melt resistant ice cream which should delay melting in the hotter climates of the Arabic countries where it is most commonly found.
</td>",https://en.wikipedia.org/wiki/Booza,['https://en.wikipedia.org/wiki/Syria']
Borhani,['Bangladesh'],"<td>Yoghurt drink mixed with coriander, mustard seeds, mint and other spices (not to be confused with <a href=""/wiki/Borani"" title=""Borani"">Borani</a> in Turkey and Iran).
</td>",https://en.wikipedia.org/wiki/Borhani,['https://en.wikipedia.org/wiki/Bangladesh']
Bulgarian yogurt,['Bulgaria'],"<td>A fermented milk product. In common with all dairy <a href=""/wiki/Yogurt"" title=""Yogurt"">yogurt</a>, Bulgarian yogurt is produced through the <a href=""/wiki/Bacteria"" title=""Bacteria"">bacterial</a> <a class=""mw-redirect"" href=""/wiki/Fermentation_(food)"" title=""Fermentation (food)"">fermentation</a> of <a href=""/wiki/Milk"" title=""Milk"">milk</a>, using a live culture of <a class=""mw-redirect"" href=""/wiki/Lactobacillus_bulgaricus"" title=""Lactobacillus bulgaricus"">Lactobacillus bulgaricus</a> and <a href=""/wiki/Streptococcus_thermophilus"" title=""Streptococcus thermophilus"">Streptococcus thermophilus</a>.
</td>",https://en.wikipedia.org/wiki/Bulgarian_yogurt,['https://en.wikipedia.org/wiki/Bulgaria']
Buttermilk koldskål,['Denmark'],"<td>A sweet cold <a class=""mw-redirect"" href=""/wiki/Beverage"" title=""Beverage"">beverage</a> or <a href=""/wiki/Soup"" title=""Soup"">soup</a>, made with <a href=""/wiki/Buttermilk"" title=""Buttermilk"">buttermilk</a> and other ingredients. Pictured is buttermilk koldskål with biscuits.
</td>",https://en.wikipedia.org/wiki/Buttermilk_koldsk%C3%A5l,['https://en.wikipedia.org/wiki/Denmark']
Clabber,['Scotland'],"<td>Produced by allowing <a href=""/wiki/Pasteurization"" title=""Pasteurization"">unpasteurized</a> <a href=""/wiki/Milk"" title=""Milk"">milk</a> to turn sour at a specific <a href=""/wiki/Humidity"" title=""Humidity"">humidity</a> and <a href=""/wiki/Temperature"" title=""Temperature"">temperature</a>. Over time, the milk thickens or curdles into a <a href=""/wiki/Yogurt"" title=""Yogurt"">yogurt</a>-like substance with a strong, sour flavor.<sup class=""reference"" id=""cite_ref-12""><a href=""#cite_note-12""><span class=""cite-bracket"">[</span>12<span class=""cite-bracket"">]</span></a></sup>
</td>",https://en.wikipedia.org/wiki/Clabber_(food),['https://en.wikipedia.org/wiki/Scotland']
