product,descriptor_type,descriptors,sentences,n_keyword_hits
Amasi,cow,['cow'],"['a calabash is smoked, then milk from the cow is put in a skin bag or bucket, where it ferments for 1 - 5 days, and acquires a sharp acidic taste', ""amasi is traditionally prepared by storing unpasteurised cow's milk in a calabash container (xhosa: iselwa,  zulu: igula) or hide sack to allow it to ferment""]",2
Ayran,sheep,['sheep'],"['in southern cyprus ayrani (αϊρανι) is made with sour sheep yogurt, water, salt and mint.\n']",1
Bhuna khoya,buffalo,['buffalo'],['khoa is made from both cow and water buffalo milk'],1
Bhuna khoya,cow,['cow'],['khoa is made from both cow and water buffalo milk'],1
Black Kashk,goat,['goat'],"['qaraqorut is traditionally made from dūġ or doogh ie curdled fermented buttermilk, produced by adding kashk water, ie sour whey which contains lactic acid bacteria, to full fat yogurt which is then swung in a goatskin until it separates into butter and dūġ']",1
Bulgarian yogurt,buffalo,['buffalo'],"['zabadi is the type of yogurt made in egypt, usually from the milk of the egyptian water buffalo', 'milk from water buffalo, goats, ewes, mares, camels, and yaks is also used to produce yogurt', 'dadiah or dadih is a traditional west sumatran yogurt made from water buffalo milk, fermented in bamboo tubes', ""while cow's milk is currently the primary ingredient for yogurt, goat and buffalo milk were widely used in the past, and valued for the fat content (see buffalo curd).\n""]",4
Bulgarian yogurt,cow,['cow'],"['goat milk yogurt has a low viscosity and a thinner texture when compared to cow milk yogurt', 'conversely, sheep milk, having higher content of solids, has a higher viscosity and thicker texture when compared to cow milk yogurt.\n', ""cow's milk is most commonly used to make yogurt"", 'although cow milk is a common choice for yogurt production, other milks, such as goat, sheep, and camel, produce different rheologies', ""while cow's milk is currently the primary ingredient for yogurt, goat and buffalo milk were widely used in the past, and valued for the fat content (see buffalo curd).\n""]",5
Bulgarian yogurt,goat,['goat'],"['goat milk yogurt has a low viscosity and a thinner texture when compared to cow milk yogurt', 'the earliest yogurts were probably spontaneously fermented by wild bacteria in goat skin bags.\n', 'milk from water buffalo, goats, ewes, mares, camels, and yaks is also used to produce yogurt', 'although cow milk is a common choice for yogurt production, other milks, such as goat, sheep, and camel, produce different rheologies', ""while cow's milk is currently the primary ingredient for yogurt, goat and buffalo milk were widely used in the past, and valued for the fat content (see buffalo curd).\n""]",5
Bulgarian yogurt,plant_based,"['almond milk', 'coconut milk', 'oat milk', 'plant-based', 'rice milk', 'soy milk', 'vegan']","['plant-based milks have different structures and components than dairy milk', 'a variety of plant-based yogurt alternatives appeared in the 2000s, using soy milk, rice milk, and nut milks such as almond milk and coconut milk fermented with cultures', 'in europe, companies may not market their plant-based products using the word yogurt since that term is reserved for products of animal origin only – per european union regulation 1308/2013 and a 2017 ruling in the court of justice of the european union', 'goat milk yogurt has a low viscosity and a thinner texture when compared to cow milk yogurt', 'these products may be suitable for people with lactose intolerance and those who prefer plant-based foods, such as vegetarians and vegans', 'plant-based products also vary considerably in their nutrition and ingredients and may contain gums, stabilizers, high-intensity sweeteners, and artificial colors.\n', 'since plant-based milks do not contain lactose (the food of streptococcus thermophilus and lactobacillus bulgaricus), plant-based products usually contain different bacterial strains than yogurt, such as lactobacillus casei, lactobacillus rhamnosus, and bifidobacterium bifidum']",12
Bulgarian yogurt,sheep,"['ewe', 'sheep']","['conversely, sheep milk, having higher content of solids, has a higher viscosity and thicker texture when compared to cow milk yogurt.\n', 'milk from water buffalo, goats, ewes, mares, camels, and yaks is also used to produce yogurt', 'although cow milk is a common choice for yogurt production, other milks, such as goat, sheep, and camel, produce different rheologies']",3
Buttermilk koldskål,cow,['holstein'],"[""koldskål is also a popular dish in schleswig-holstein, germany's northernmost state""]",1
Clotted cream,cow,['cow'],"[""traditionally, clotted cream was created by straining fresh cow's milk, letting it stand in a shallow pan in a cool place for several hours to allow the cream to rise to the surface, then heating it either over hot cinders or in a water bath, before a slow cooling"", ""clotted cream (cornish: dehen molys, sometimes called scalded, clouted, devonshire or cornish cream) is a thick cream made by heating full-cream cow's milk using steam or a water bath and then leaving it in shallow pans to cool slowly""]",2
Cream cheese,cow,['cow'],"['in 1877, lawrence created the first brand of cream cheese; its logo was a silhouette of a cow followed by the words ""neufchatel & cream cheese""']",1
Cuajada,cow,['cow'],"[""cuajada (milk curd) is a dairy product traditionally made from sheep's milk, but now it is more often made industrially from cow's milk""]",1
Cuajada,sheep,['sheep'],"[""cuajada (milk curd) is a dairy product traditionally made from sheep's milk, but now it is more often made industrially from cow's milk""]",1
Dadiah,buffalo,['buffalo'],"['the natural, indigenous, lactic acid bacteria found in dadiah could be derived from the bamboo tubes, buffalo milk, or banana leaves.\n', 'the milk is fermented by indigenous lactic bacteria found in the buffalo milk', 'dadiah (minangkabau) or dadih (indonesian and malaysian malay) a traditional fermented milk popular among people of west sumatra, indonesia, is made by pouring fresh, raw, unheated, buffalo milk into a bamboo tube capped with a banana leaf and allowing it to ferment spontaneously at room temperature for two days.\n']",3
Dulce de Leche,buffalo,['buffalo'],"['in the philippines, dulce de leche made with carabao (water buffalo) milk is called dulce gatas, and is a specialty of negros occidental province.\n']",1
Dulce de Leche,goat,['goat'],"['other names in spanish include manjar (""delicacy""), arequipe and leche quemada (""burnt milk""); also in mexico and some central american countries dulce de leche made with goat\'s milk is called \'cajeta\'']",1
Filmjölk,cow,['cow'],"[""it is made by fermenting cow's milk with a variety of bacteria from the species lactococcus lactis and leuconostoc mesenteroides"", ""manufactured filmjölk is made from pasteurised, homogenised, and standardised cow's milk""]",2
Frozen yogurt,plant_based,['non-dairy'],['frozen yogurt (also known as frogurt or by the tradename froyo; /ˈfroʊjoʊ/) is a frozen dessert made with yogurt and sometimes other dairy and non-dairy products'],1
Junnu,buffalo,['buffalo'],"['kharvas, also known as junnu, or ginnu, is an indian milk pudding made from cow or buffalo colostrum, the first form of milk produced within one or two days of giving birth']",1
Junnu,cow,['cow'],"['kharvas, also known as junnu, or ginnu, is an indian milk pudding made from cow or buffalo colostrum, the first form of milk produced within one or two days of giving birth']",1
Kalvdans,buffalo,['buffalo'],['in india kharvas is a dessert made out of colostrum milk from buffaloes'],1
Kalvdans,cow,['cow'],"['it is however rarely consumed today, as very few families keep cows of their own.\n', 'it is made from unpasteurized colostrum milk, the first milk produced by a cow after giving birth.\n']",2
"Kashk, aaruul, chortan, qurut",buffalo,['buffalo'],"[""keshk matrouhi, from marsa matrouh, substitutes cow or water buffalo milk with goat's milk and replaces wheat with barley, adapting to the region’s reliance on rain-fed agriculture""]",1
"Kashk, aaruul, chortan, qurut",cow,['cow'],"[""keshk matrouhi, from marsa matrouh, substitutes cow or water buffalo milk with goat's milk and replaces wheat with barley, adapting to the region’s reliance on rain-fed agriculture""]",1
"Kashk, aaruul, chortan, qurut",goat,['goat'],"['in lebanon, jordan, arabian peninsula, and syria, kishk is a powdery cereal of burghul (cracked wheat) fermented with milk and laban (yogurt), usually from goat milk', 'for traditionally prepared qurut water is added to full fat yogurt and poured into a goatskin ""churn"" - a sack hung from a tripod that is swung back and forth until the milk separates into a type of butter and buttermilk', 'the integration of fig and olive trees with barley cultivation and goat herding supports sustainable production in the area.\n', 'fresh milk is placed in a goat pelt called kerba (قربة), where it is churned to separate butter from buttermilk, laban kerba (لبن قربة) or laban khad (لبن خض)', ""keshk matrouhi, from marsa matrouh, substitutes cow or water buffalo milk with goat's milk and replaces wheat with barley, adapting to the region’s reliance on rain-fed agriculture""]",5
"Kashk, aaruul, chortan, qurut",plant_based,['oat milk'],"['in lebanon, jordan, arabian peninsula, and syria, kishk is a powdery cereal of burghul (cracked wheat) fermented with milk and laban (yogurt), usually from goat milk']",1
