product,descriptor_type,descriptors,sentences,n_keyword_hits
Acidophiline,dessert,['sweet'],"['the sweetened acidophiline was widely produced in the ussr, among other fermented milk drinks, such as kefir and ryazhenka.\n']",1
Amasi,breakfast,['porridge'],['this thick liquid is mostly poured over mealie meal porridge called pap (xhosa: umphokoqo)'],1
Amasi,snack,['snack'],"['a staple food in pre-colonial times, it is now a popular snack in south africa, zimbabwe and lesotho.\n']",1
Ayran,bread,['bread'],"['ayran is served chilled and often as an accompaniment to grilled meat, bread or rice, especially during summer', 'it is enjoyed alongside bolani, afghan flatbread, and other picnic foods.\n']",2
Ayran,breakfast,['breakfast'],"['in balkan countries, the drink is usually consumed for breakfast or lunch, usually combined with pastries like banitsa, börek or other pastries.\n']",1
Ayran,dessert,['pastries'],"['in balkan countries, the drink is usually consumed for breakfast or lunch, usually combined with pastries like banitsa, börek or other pastries.\n']",1
Basundi,bread,['bread'],['it is often served with puris (fried indian flatbread).\n'],1
Basundi,dessert,"['custard', 'sweet']","['different styles of basundi are also prepared, such as sitaphal (custard apple) basundi and angoor basundi (basundi with smaller kinds of rasgullas).\n', 'it is a sweetened condensed milk made by boiling milk on low heat until the milk is reduced by half', 'basundi (gujarati: બાસુંદી, kannada: ಬಾಸುಂದಿ, marathi: बासुंदी, tamil: பாசந்தி, telugu: బాసుంది) is an indian sweet mostly in maharashtra, gujarat, andhra pradesh, telangana, tamil nadu and karnataka', 'it is a sweetened dense milk made by boiling milk on low heat until the milk is reduced.\n']",4
Bhuna khoya,dessert,['sweet'],"['khoa is used as the base for a wide variety of indian sweets', 'khoa is used in various types of sweets: \n']",2
Booza,dessert,"['dessert', 'ice cream']","['it is traditionally made through a process of pounding and stretching in a freezer drum, instead of the more usual churning method used in other ice creams, leading to a creamy yet dense texture', 'in al-hamidiyah souq in the old city of damascus, there is an ice cream store named bakdash that is known throughout the arab world for its stretchy and chewy ice cream', ""booza (arabic: بُوظَة, romanized:\xa0būẓah, lit.\u2009'ice cream') is a frozen dairy dessert""]",4
Borhani,snack,['appetizer'],"['it is normally drank after heavy meals such as biryani,  morog polao and tehari to aid digestion although appetizer borhanis do exist.\n']",1
Bulgarian yogurt,bread,"['bread', 'sandwich', 'spread']","['strained yogurt is also enjoyed in greece and is the main component of tzatziki, a well-known accompaniment to gyros and souvlaki pita sandwiches: it is a yogurt sauce or dip made with the addition of grated cucumber, olive oil, salt and, optionally, mashed garlic', 'the consistency of yogurt allows the mold to penetrate deeply under the surface where it spreads.\n', 'it may be used for sandwiches in middle eastern countries', 'in the summertime, yogurt and ice cubes are mixed together with cucumbers, raisins, salt, pepper and onions and topped with some croutons made of persian traditional bread and served as a cold soup']",4
